iter	Passed	Remaining
188	387	11898
189	388	11880
190	390	11863
191	391	11849
192	393	11829
193	394	11816
194	396	11801
195	397	11784
196	399	11771
197	401	11753
198	402	11741
199	404	11727
200	406	11714
201	407	11701
202	409	11687
203	410	11672
204	413	11677
205	414	11664
206	416	11655
207	418	11640
208	419	11626
209	421	11613
210	423	11605
211	424	11592
212	426	11585
213	428	11579
214	429	11567
215	431	11563
216	433	11563
217	435	11559
218	438	11564
219	440	11563
220	442	11565
221	444	11568
222	446	11566
223	448	11566
224	450	11569
225	452	11569
226	454	11569
227	457	11590
228	460	11598
229	462	11607
230	465	11614
231	467	11617
232	470	11633
233	472	11646
234	475	11660
235	478	11692
236	482	11743
237	486	11767
238	488	11779
239	490	11781
240	493	11785
241	495	11796
242	498	11808
243	500	11805
244	502	11807
245	505	11816
246	507	11821
247	509	11819
248	512	11825
249	514	11824
250	516	11825
251	518	11820
252	520	11818
253	521	11806
254	523	11795
255	525	11780
256	526	11766
257	528	11758
258	530	11748
259	531	11737
260	533	11724
261	534	11711
262	536	11704
263	538	11692
264	539	11679
265	541	11667
266	543	11659
267	544	11648
268	546	11634
269	547	11621
270	549	11608
271	550	11597
272	552	11583
273	553	11568
274	555	11556
275	556	11543
276	557	11528
277	559	11514
278	560	11503
279	562	11496
280	564	11487
281	566	11476
282	567	11464
283	569	11454
284	570	11441
285	572	11429
286	573	11424
287	575	11414
288	577	11402
289	578	11391
290	580	11380
291	581	11370
292	583	11359
293	584	11350
294	586	11341
295	587	11330
296	589	11326
297	591	11316
298	592	11304
299	594	11294
300	595	11284
301	597	11273
302	598	11262
303	600	11251
304	602	11241
305	603	11230
306	605	11220
307	606	11210
308	608	11198
309	609	11186
310	610	11175
311	612	11165
312	613	11155
313	615	11144
314	616	11133
315	618	11130
316	620	11121
317	621	11111
318	623	11104
319	625	11097
320	626	11087
321	628	11081
322	629	11071
323	631	11060
324	632	11049
325	634	11045
326	636	11038
327	637	11028
328	639	11026
329	641	11015
330	642	11007
331	644	10996
332	645	10989
333	647	10981
334	648	10972
335	650	10963
336	651	10954
337	653	10945
338	655	10938
339	656	10930
340	658	10920
341	659	10911
342	661	10902
343	662	10895
344	664	10887
345	665	10879
346	667	10869
347	668	10863
348	670	10854
349	671	10845
350	673	10835
351	674	10829
352	676	10821
353	678	10816
354	680	10815
355	681	10809
356	683	10808
357	685	10805
358	687	10802
359	689	10802
360	691	10804
361	693	10808
362	695	10806
363	697	10803
364	699	10798
365	701	10791
366	703	10792
367	705	10793
368	707	10791
369	709	10789
370	710	10787
371	712	10782
372	714	10777
373	716	10773
374	718	10775
375	720	10782
376	722	10779
377	724	10778
378	726	10773
379	728	10767
380	729	10764
381	731	10763
382	733	10763
383	735	10762
384	737	10756
385	739	10755
386	741	10754
387	742	10745
388	744	10745
389	746	10739
390	748	10733
391	749	10729
392	751	10720
393	753	10717
394	754	10710
395	756	10702
396	757	10697
397	759	10691
398	761	10686
399	762	10678
400	764	10672
401	766	10669
402	767	10665
403	769	10661
404	771	10654
405	772	10649
406	775	10650
407	776	10647
408	778	10641
409	780	10639
410	782	10634
411	783	10628
412	785	10620
413	786	10613
414	788	10605
415	789	10598
416	791	10593
417	792	10585
418	794	10579
419	795	10573
420	797	10569
421	799	10563
422	800	10555
423	802	10547
424	803	10541
425	805	10534
426	806	10527
427	808	10520
428	809	10513
429	811	10506
430	812	10499
431	814	10492
432	815	10485
433	817	10481
434	818	10474
435	820	10468
436	821	10461
437	823	10455
438	825	10454
439	826	10449
440	828	10442
441	830	10438
442	831	10431
443	833	10425
444	834	10419
445	836	10413
446	837	10405
447	839	10399
448	840	10393
449	842	10387
450	843	10382
451	845	10377
452	846	10371
453	848	10363
454	849	10357
455	851	10350
456	852	10343
457	854	10338
458	855	10331
459	857	10324
460	859	10321
461	860	10317
462	862	10315
463	864	10308
464	865	10303
465	866	10295
466	868	10291
467	870	10293
468	872	10287
469	873	10281
470	875	10275
471	877	10274
472	878	10269
473	880	10264
474	882	10263
475	883	10257
476	885	10252
477	886	10246
478	888	10240
479	890	10235
480	891	10229
481	893	10223
482	894	10219
483	896	10213
484	897	10207
485	899	10199
486	900	10193
487	901	10186
488	903	10179
489	904	10174
490	906	10170
491	907	10163
492	909	10157
493	910	10151
494	912	10149
495	914	10144
496	915	10140
497	917	10134
498	918	10129
499	920	10130
500	922	10126
501	923	10119
502	925	10115
503	927	10112
504	928	10108
505	930	10103
506	932	10099
507	933	10096
508	935	10091
509	937	10086
510	938	10081
511	940	10077
512	941	10073
513	943	10069
514	945	10069
515	947	10068
516	949	10065
517	951	10064
518	953	10064
519	955	10065
520	956	10063
521	958	10062
522	960	10059
523	962	10054
524	963	10049
525	965	10048
526	967	10045
527	968	10041
528	970	10037
529	972	10034
530	973	10031
531	975	10027
532	977	10022
533	978	10018
534	980	10015
535	982	10012
536	983	10008
537	985	10003
538	987	10002
539	988	9998
540	990	9995
541	992	9991
542	994	9989
543	996	9989
544	997	9986
545	999	9983
546	1000	9978
547	1002	9973
548	1003	9967
549	1005	9962
550	1006	9958
551	1008	9951
552	1009	9947
553	1011	9943
554	1013	9940
555	1014	9935
556	1016	9932
557	1017	9926
558	1019	9924
559	1021	9919
560	1022	9917
561	1024	9913
562	1026	9909
563	1028	9911
564	1030	9908
565	1031	9905
566	1033	9902
567	1034	9897
568	1036	9895
569	1038	9892
570	1040	9889
571	1041	9885
572	1043	9880
573	1044	9876
574	1046	9871
575	1047	9867
576	1049	9862
577	1051	9861
578	1052	9857
579	1054	9855
580	1056	9852
581	1057	9847
582	1059	9843
583	1060	9838
584	1062	9834
585	1063	9829
586	1065	9825
587	1067	9821
588	1068	9816
589	1070	9814
590	1071	9809
591	1073	9804
592	1074	9799
593	1076	9794
594	1077	9791
595	1079	9787
596	1081	9784
597	1082	9780
598	1084	9775
599	1085	9771
600	1087	9766
601	1088	9761
602	1090	9756
603	1091	9751
604	1092	9746
605	1094	9741
606	1096	9738
607	1097	9734
608	1099	9732
609	1100	9728
610	1102	9723
611	1103	9719
612	1105	9714
613	1107	9711
614	1108	9706
615	1110	9702
616	1111	9696
617	1112	9692
618	1114	9688
619	1116	9684
620	1117	9680
621	1119	9677
622	1120	9673
623	1122	9668
624	1123	9663
625	1125	9659
626	1126	9655
627	1128	9651
628	1129	9646
629	1131	9643
630	1132	9638
631	1134	9633
632	1135	9630
633	1137	9625
634	1138	9621
635	1140	9615
636	1141	9612
637	1143	9607
638	1144	9603
639	1146	9598
640	1147	9594
641	1149	9590
642	1150	9586
643	1152	9580
644	1153	9576
645	1154	9572
646	1156	9569
647	1158	9564
648	1159	9561
649	1161	9556
650	1162	9553
651	1164	9548
652	1165	9545
653	1167	9542
654	1168	9537
655	1170	9534
656	1171	9530
657	1173	9525
658	1175	9524
659	1176	9522
660	1178	9519
661	1180	9516
662	1181	9514
663	1183	9510
664	1184	9505
665	1186	9501
666	1188	9499
667	1190	9503
668	1192	9501
669	1193	9497
670	1195	9495
671	1197	9492
672	1198	9489
673	1200	9486
674	1202	9485
675	1203	9481
676	1205	9479
677	1207	9474
678	1208	9471
679	1210	9467
680	1211	9462
681	1213	9460
682	1215	9459
683	1216	9454
684	1217	9449
685	1219	9446
686	1221	9442
687	1222	9438
688	1223	9434
689	1225	9430
690	1227	9427
691	1228	9423
692	1230	9420
693	1231	9415
694	1232	9410
695	1234	9406
696	1235	9403
697	1237	9402
698	1239	9398
699	1240	9394
700	1242	9390
701	1243	9387
702	1245	9385
703	1247	9382
704	1248	9379
705	1250	9376
706	1252	9373
707	1253	9369
708	1255	9367
709	1256	9364
710	1258	9361
711	1260	9358
712	1261	9355
713	1263	9351
714	1264	9348
715	1266	9345
716	1267	9341
717	1269	9337
718	1270	9333
719	1272	9328
720	1273	9324
721	1275	9320
722	1276	9316
723	1278	9313
724	1279	9310
725	1281	9306
726	1282	9303
727	1284	9299
728	1285	9296
729	1287	9293
730	1288	9289
731	1290	9286
732	1291	9282
733	1293	9278
734	1294	9274
735	1296	9271
736	1297	9268
737	1299	9265
738	1300	9261
739	1302	9257
740	1303	9254
741	1305	9250
742	1307	9249
743	1308	9246
744	1310	9244
745	1312	9240
746	1313	9239
747	1315	9236
748	1317	9233
749	1318	9230
750	1320	9226
751	1321	9225
752	1323	9221
753	1325	9219
754	1326	9217
755	1328	9214
756	1329	9211
757	1331	9207
758	1332	9204
759	1334	9202
760	1336	9200
761	1337	9196
762	1339	9192
763	1340	9189
764	1342	9185
765	1343	9181
766	1345	9178
767	1346	9174
768	1348	9171
769	1349	9168
770	1351	9166
771	1353	9163
772	1354	9159
773	1356	9156
774	1357	9152
775	1359	9149
776	1360	9146
777	1362	9142
778	1363	9138
779	1365	9136
780	1366	9133
781	1368	9130
782	1369	9126
783	1371	9123
784	1372	9119
785	1374	9117
786	1375	9113
787	1377	9109
788	1378	9106
789	1380	9103
790	1381	9100
791	1383	9096
792	1385	9094
793	1386	9090
794	1387	9087
795	1389	9084
796	1391	9080
797	1392	9076
798	1393	9073
799	1395	9070
800	1396	9066
801	1398	9063
802	1399	9060
803	1401	9056
804	1402	9053
805	1404	9049
806	1405	9046
807	1407	9043
808	1408	9039
809	1410	9037
810	1411	9033
811	1413	9030
812	1414	9027
813	1416	9024
814	1417	9020
815	1419	9016
816	1420	9014
817	1422	9010
818	1423	9008
819	1425	9004
820	1426	9001
821	1428	9000
822	1430	8998
823	1432	8995
824	1433	8992
825	1435	8989
826	1436	8986
827	1438	8983
828	1439	8980
829	1441	8978
830	1443	8975
831	1444	8974
832	1446	8973
833	1448	8971
834	1449	8968
835	1451	8967
836	1453	8966
837	1455	8965
838	1457	8963
839	1458	8962
840	1460	8960
841	1462	8958
842	1464	8957
843	1466	8955
844	1467	8955
845	1469	8955
846	1471	8953
847	1473	8952
848	1475	8950
849	1476	8948
850	1478	8947
851	1480	8946
852	1482	8945
853	1484	8944
854	1486	8944
855	1488	8943
856	1490	8942
857	1491	8939
858	1493	8938
859	1495	8935
860	1496	8933
861	1498	8932
862	1500	8931
863	1502	8931
864	1504	8928
865	1505	8927
866	1507	8925
867	1509	8923
868	1511	8921
869	1512	8920
870	1514	8918
871	1516	8916
872	1518	8915
873	1519	8913
874	1521	8913
875	1523	8911
876	1525	8910
877	1527	8909
878	1529	8908
879	1530	8906
880	1532	8905
881	1534	8905
882	1536	8904
883	1538	8902
884	1540	8901
885	1541	8899
886	1543	8897
887	1545	8897
888	1547	8899
889	1550	8900
890	1552	8902
891	1554	8901
892	1556	8899
893	1558	8899
894	1559	8897
895	1561	8896
896	1563	8894
897	1565	8892
898	1566	8891
899	1568	8888
900	1570	8886
901	1572	8885
902	1573	8883
903	1575	8882
904	1577	8880
905	1579	8878
906	1580	8877
907	1582	8876
908	1584	8874
909	1586	8873
910	1588	8871
911	1589	8870
912	1591	8868
913	1593	8865
914	1594	8863
915	1596	8862
916	1598	8860
917	1600	8859
918	1601	8856
919	1603	8853
920	1605	8852
921	1607	8850
922	1608	8848
923	1610	8844
924	1611	8842
925	1613	8840
926	1614	8837
927	1616	8834
928	1617	8831
929	1619	8828
930	1621	8825
931	1622	8822
932	1624	8819
933	1625	8816
934	1627	8814
935	1628	8812
936	1630	8810
937	1632	8808
938	1634	8808
939	1635	8806
940	1637	8804
941	1639	8802
942	1641	8800
943	1642	8799
944	1645	8799
945	1646	8798
946	1648	8796
947	1650	8795
948	1652	8794
949	1654	8792
950	1655	8791
951	1657	8790
952	1659	8791
953	1661	8790
954	1664	8790
955	1665	8788
956	1667	8787
957	1669	8786
958	1671	8785
959	1672	8783
960	1674	8782
961	1677	8782
962	1679	8782
963	1680	8780
964	1682	8778
965	1684	8778
966	1686	8776
967	1688	8775
968	1689	8773
969	1691	8773
970	1693	8772
971	1695	8771
972	1697	8769
973	1699	8768
974	1700	8766
975	1702	8765
976	1704	8763
977	1706	8763
978	1708	8763
979	1710	8764
980	1712	8762
981	1714	8761
982	1716	8760
983	1718	8758
984	1720	8758
985	1721	8756
986	1723	8755
987	1726	8757
988	1728	8755
989	1729	8754
990	1731	8752
991	1733	8752
992	1735	8752
993	1737	8751
994	1739	8751
995	1741	8750
996	1743	8749
997	1745	8749
998	1747	8747
999	1749	8746
1000	1751	8746
1001	1753	8746
1002	1755	8747
1003	1757	8746
1004	1759	8746
1005	1761	8745
1006	1763	8745
1007	1765	8744
1008	1767	8743
1009	1769	8742
1010	1771	8742
1011	1773	8743
1012	1775	8742
1013	1777	8739
1014	1779	8737
1015	1780	8734
1016	1782	8732
1017	1783	8729
1018	1785	8725
1019	1786	8723
1020	1788	8721
1021	1790	8719
1022	1791	8715
1023	1792	8712
1024	1794	8710
1025	1795	8706
1026	1797	8704
1027	1799	8702
1028	1800	8699
1029	1802	8698
1030	1804	8697
1031	1806	8694
1032	1807	8692
1033	1809	8689
1034	1811	8688
1035	1813	8687
1036	1814	8685
1037	1816	8683
1038	1818	8681
1039	1820	8681
1040	1821	8679
1041	1823	8677
1042	1825	8675
1043	1826	8672
1044	1828	8671
1045	1830	8668
1046	1831	8665
1047	1833	8662
1048	1834	8660
1049	1836	8659
1050	1838	8657
1051	1840	8654
1052	1841	8652
1053	1843	8649
1054	1845	8649
1055	1847	8647
1056	1848	8646
1057	1851	8647
1058	1853	8647
1059	1855	8645
1060	1857	8644
1061	1858	8641
1062	1860	8639
1063	1861	8636
1064	1863	8637
1065	1865	8635
1066	1867	8634
1067	1869	8632
1068	1871	8632
1069	1873	8631
1070	1875	8629
1071	1876	8627
1072	1878	8625
1073	1880	8622
1074	1881	8621
1075	1884	8621
1076	1886	8621
1077	1887	8618
1078	1889	8616
1079	1890	8614
1080	1892	8612
1081	1894	8609
1082	1895	8606
1083	1897	8603
1084	1899	8603
1085	1901	8604
1086	1903	8601
1087	1904	8599
1088	1906	8596
1089	1907	8594
1090	1909	8592
1091	1911	8590
1092	1913	8588
1093	1915	8588
1094	1917	8587
1095	1918	8585
1096	1920	8583
1097	1922	8580
1098	1923	8578
1099	1925	8576
1100	1926	8574
1101	1928	8572
1102	1930	8571
1103	1932	8569
1104	1934	8568
1105	1936	8567
1106	1937	8564
1107	1939	8562
1108	1940	8559
1109	1942	8557
1110	1944	8556
1111	1946	8555
1112	1948	8553
1113	1949	8552
1114	1951	8550
1115	1953	8548
1116	1954	8546
1117	1956	8544
1118	1958	8543
1119	1960	8541
1120	1962	8540
1121	1964	8539
1122	1965	8537
1123	1967	8534
1124	1969	8532
1125	1970	8530
1126	1972	8527
1127	1973	8525
1128	1975	8523
1129	1977	8520
1130	1979	8519
1131	1980	8518
1132	1982	8515
1133	1983	8512
1134	1985	8511
1135	1987	8508
1136	1988	8505
1137	1990	8503
1138	1992	8501
1139	1993	8499
1140	1996	8500
1141	1997	8499
1142	1999	8496
1143	2000	8493
1144	2002	8490
1145	2003	8487
1146	2005	8486
1147	2007	8483
1148	2008	8480
1149	2010	8478
1150	2012	8477
1151	2013	8474
1152	2015	8472
1153	2017	8470
1154	2018	8467
1155	2020	8465
1156	2021	8463
1157	2023	8461
1158	2025	8459
1159	2027	8458
1160	2029	8456
1161	2030	8454
1162	2032	8452
1163	2033	8450
1164	2035	8448
1165	2037	8446
1166	2039	8445
1167	2040	8442
1168	2042	8441
1169	2044	8440
1170	2046	8438
1171	2047	8435
1172	2049	8432
1173	2050	8430
1174	2052	8427
1175	2054	8425
1176	2055	8423
1177	2057	8422
1178	2059	8420
1179	2060	8418
1180	2062	8416
1181	2064	8415
1182	2066	8413
1183	2068	8412
1184	2069	8410
1185	2071	8408
1186	2073	8407
1187	2075	8406
1188	2077	8406
1189	2079	8405
1190	2081	8403
1191	2082	8401
1192	2084	8399
1193	2086	8398
1194	2088	8396
1195	2090	8395
1196	2092	8394
1197	2093	8393
1198	2095	8391
1199	2097	8390
1200	2099	8388
1201	2101	8387
1202	2102	8385
1203	2104	8384
1204	2106	8383
1205	2108	8382
1206	2110	8381
1207	2112	8379
1208	2113	8377
1209	2115	8375
1210	2117	8373
1211	2119	8372
1212	2121	8371
1213	2123	8372
1214	2125	8371
1215	2127	8369
1216	2129	8368
1217	2131	8367
1218	2133	8366
1219	2135	8365
1220	2137	8364
1221	2139	8364
1222	2140	8362
1223	2142	8360
1224	2144	8359
1225	2146	8357
1226	2148	8356
1227	2150	8355
1228	2151	8353
1229	2153	8352
1230	2155	8351
1231	2157	8350
1232	2159	8348
1233	2161	8347
1234	2162	8345
1235	2165	8344
1236	2166	8342
1237	2168	8341
1238	2170	8341
1239	2173	8341
1240	2174	8339
1241	2176	8337
1242	2178	8336
1243	2180	8334
1244	2181	8333
1245	2183	8330
1246	2185	8329
1247	2187	8328
1248	2188	8326
1249	2190	8324
1250	2192	8323
1251	2194	8322
1252	2196	8320
1253	2198	8318
1254	2199	8317
1255	2201	8315
1256	2204	8316
1257	2206	8315
1258	2207	8314
1259	2209	8313
1260	2211	8311
1261	2213	8309
1262	2215	8307
1263	2216	8306
1264	2219	8307
1265	2221	8306
1266	2222	8304
1267	2224	8302
1268	2226	8300
1269	2228	8298
1270	2230	8297
1271	2231	8296
1272	2234	8296
1273	2236	8295
1274	2238	8293
1275	2239	8291
1276	2241	8289
1277	2242	8287
1278	2244	8285
1279	2246	8282
1280	2247	8280
1281	2249	8279
1282	2251	8277
1283	2253	8275
1284	2254	8272
1285	2256	8270
1286	2257	8267
1287	2259	8264
1288	2260	8261
1289	2262	8259
1290	2263	8257
1291	2265	8254
1292	2267	8253
1293	2268	8250
1294	2270	8248
1295	2271	8245
1296	2273	8242
1297	2274	8240
1298	2276	8237
1299	2277	8235
1300	2279	8232
1301	2280	8229
1302	2282	8227
1303	2284	8226
1304	2285	8223
1305	2287	8221
1306	2288	8218
1307	2290	8215
1308	2291	8213
1309	2293	8210
1310	2294	8208
1311	2296	8205
1312	2298	8203
1313	2299	8201
1314	2301	8199
1315	2303	8197
1316	2304	8194
1317	2306	8192
1318	2307	8190
1319	2309	8188
1320	2311	8186
1321	2312	8184
1322	2314	8182
1323	2316	8180
1324	2317	8178
1325	2319	8175
1326	2321	8173
1327	2322	8171
1328	2324	8170
1329	2326	8167
1330	2327	8165
1331	2329	8164
1332	2331	8164
1333	2333	8161
1334	2335	8159
1335	2336	8157
1336	2338	8155
1337	2339	8153
1338	2341	8151
1339	2343	8148
1340	2344	8147
1341	2346	8145
1342	2348	8143
1343	2349	8140
1344	2351	8137
1345	2352	8135
1346	2354	8133
1347	2356	8130
1348	2357	8127
1349	2359	8125
1350	2360	8123
1351	2362	8121
1352	2364	8120
1353	2365	8117
1354	2367	8115
1355	2368	8113
1356	2370	8111
1357	2372	8108
1358	2373	8107
1359	2375	8104
1360	2377	8103
1361	2379	8101
1362	2380	8099
1363	2382	8097
1364	2384	8095
1365	2386	8094
1366	2387	8091
1367	2389	8090
1368	2391	8088
1369	2393	8087
1370	2395	8086
1371	2396	8084
1372	2398	8082
1373	2400	8081
1374	2402	8079
1375	2403	8077
1376	2405	8075
1377	2407	8073
1378	2409	8073
1379	2410	8071
1380	2412	8068
1381	2414	8066
1382	2416	8065
1383	2417	8063
1384	2419	8061
1385	2420	8059
1386	2422	8058
1387	2424	8056
1388	2426	8056
1389	2428	8054
1390	2430	8053
1391	2432	8051
1392	2434	8050
1393	2435	8048
1394	2437	8046
1395	2439	8044
1396	2441	8043
1397	2443	8042
1398	2444	8040
1399	2446	8038
1400	2448	8037
1401	2450	8035
1402	2451	8033
1403	2454	8033
1404	2456	8032
1405	2458	8031
1406	2459	8030
1407	2461	8028
1408	2463	8025
1409	2464	8023
1410	2466	8021
1411	2467	8018
1412	2469	8017
1413	2471	8015
1414	2473	8013
1415	2474	8011
1416	2476	8009
1417	2477	8007
1418	2479	8004
1419	2481	8003
1420	2483	8001
1421	2484	7999
1422	2486	7997
1423	2488	7996
1424	2490	7994
1425	2491	7992
1426	2493	7990
1427	2495	7988
1428	2496	7986
1429	2498	7984
1430	2500	7983
1431	2501	7980
1432	2503	7979
1433	2505	7978
1434	2507	7976
1435	2509	7974
1436	2510	7972
1437	2512	7970
1438	2514	7968
1439	2515	7966
1440	2517	7965
1441	2519	7962
1442	2521	7961
1443	2522	7959
1444	2524	7958
1445	2526	7956
1446	2527	7954
1447	2529	7951
1448	2531	7951
1449	2533	7949
1450	2535	7947
1451	2536	7946
1452	2538	7944
1453	2540	7942
1454	2542	7941
1455	2543	7939
1456	2545	7937
1457	2547	7934
1458	2548	7932
1459	2550	7930
1460	2552	7929
1461	2553	7927
1462	2555	7925
1463	2557	7922
1464	2558	7920
1465	2560	7918
1466	2562	7917
1467	2563	7914
1468	2565	7912
1469	2566	7909
1470	2568	7908
1471	2570	7905
1472	2571	7903
1473	2573	7901
1474	2574	7899
1475	2576	7897
1476	2577	7894
1477	2579	7892
1478	2581	7889
1479	2582	7887
1480	2584	7885
1481	2585	7883
1482	2587	7880
1483	2588	7877
1484	2590	7875
1485	2591	7873
1486	2593	7871
1487	2595	7868
1488	2596	7866
1489	2598	7864
1490	2599	7861
1491	2601	7861
1492	2603	7859
1493	2605	7857
1494	2606	7854
1495	2608	7852
1496	2609	7850
1497	2611	7847
1498	2612	7845
1499	2614	7842
1500	2615	7840
1501	2617	7838
1502	2618	7835
1503	2620	7833
1504	2621	7831
1505	2623	7828
1506	2624	7826
1507	2626	7823
1508	2627	7821
1509	2629	7819
1510	2631	7816
1511	2633	7815
1512	2634	7813
1513	2635	7810
1514	2637	7808
1515	2639	7805
1516	2640	7803
1517	2641	7800
1518	2643	7798
1519	2645	7795
1520	2646	7793
1521	2648	7791
1522	2649	7789
1523	2651	7787
1524	2653	7785
1525	2654	7783
1526	2656	7781
1527	2658	7779
1528	2659	7776
1529	2661	7774
1530	2663	7773
1531	2664	7771
1532	2666	7770
1533	2668	7767
1534	2669	7765
1535	2671	7763
1536	2672	7760
1537	2674	7758
1538	2675	7755
1539	2677	7753
1540	2678	7751
1541	2680	7748
1542	2681	7746
1543	2683	7743
1544	2684	7741
1545	2686	7738
1546	2687	7736
1547	2689	7733
1548	2690	7730
1549	2692	7729
1550	2693	7726
1551	2695	7724
1552	2696	7722
1553	2698	7719
1554	2699	7717
1555	2701	7715
1556	2702	7712
1557	2704	7710
1558	2705	7708
1559	2707	7706
1560	2709	7704
1561	2710	7702
1562	2712	7700
1563	2714	7698
1564	2715	7695
1565	2717	7692
1566	2718	7690
1567	2719	7687
1568	2721	7686
1569	2723	7685
1570	2726	7685
1571	2728	7684
1572	2729	7682
1573	2731	7680
1574	2732	7677
1575	2734	7675
1576	2735	7673
1577	2737	7671
1578	2738	7668
1579	2740	7666
1580	2741	7663
1581	2743	7661
1582	2745	7659
1583	2746	7657
1584	2748	7655
1585	2749	7652
1586	2751	7650
1587	2752	7647
1588	2754	7645
1589	2755	7642
1590	2757	7640
1591	2758	7638
1592	2760	7636
1593	2762	7635
1594	2764	7633
1595	2765	7632
1596	2767	7631
1597	2769	7629
1598	2771	7627
1599	2772	7625
1600	2774	7623
1601	2776	7621
1602	2778	7620
1603	2780	7619
1604	2781	7617
1605	2783	7616
1606	2785	7613
1607	2786	7611
1608	2788	7610
1609	2790	7608
1610	2792	7606
1611	2793	7604
1612	2795	7603
1613	2797	7601
1614	2798	7599
1615	2800	7597
1616	2802	7596
1617	2804	7594
1618	2805	7592
1619	2807	7591
1620	2809	7590
1621	2811	7588
1622	2813	7586
1623	2815	7585
1624	2816	7583
1625	2818	7581
1626	2820	7579
1627	2821	7578
1628	2823	7576
1629	2825	7575
1630	2827	7573
1631	2829	7571
1632	2830	7569
1633	2832	7568
1634	2834	7566
1635	2836	7565
1636	2838	7564
1637	2840	7563
1638	2842	7563
1639	2844	7561
1640	2846	7560
1641	2848	7558
1642	2849	7557
1643	2851	7556
1644	2853	7554
1645	2855	7552
1646	2857	7552
1647	2859	7550
1648	2860	7548
1649	2862	7547
1650	2864	7545
1651	2866	7544
1652	2868	7543
1653	2870	7542
1654	2872	7540
1655	2874	7539
1656	2875	7537
1657	2877	7535
1658	2879	7533
1659	2881	7532
1660	2883	7531
1661	2884	7529
1662	2886	7528
1663	2888	7527
1664	2890	7526
1665	2892	7524
1666	2894	7523
1667	2896	7521
1668	2897	7519
1669	2899	7517
1670	2901	7515
1671	2902	7513
1672	2904	7511
1673	2905	7509
1674	2907	7507
1675	2908	7504
1676	2910	7502
1677	2911	7500
1678	2913	7498
1679	2915	7496
1680	2916	7494
1681	2918	7491
1682	2919	7489
1683	2921	7488
1684	2923	7485
1685	2924	7483
1686	2926	7482
1687	2928	7481
1688	2930	7478
1689	2931	7477
1690	2933	7475
1691	2935	7473
1692	2937	7472
1693	2938	7470
1694	2940	7468
1695	2942	7466
1696	2944	7465
1697	2945	7463
1698	2947	7461
1699	2949	7459
1700	2950	7457
1701	2952	7456
1702	2954	7455
1703	2956	7453
1704	2957	7451
1705	2959	7449
1706	2961	7447
1707	2963	7445
1708	2964	7443
1709	2966	7441
1710	2967	7439
1711	2970	7438
1712	2971	7436
1713	2973	7435
1714	2975	7433
1715	2976	7431
1716	2978	7428
1717	2979	7426
1718	2981	7424
1719	2982	7422
1720	2984	7420
1721	2986	7418
1722	2987	7416
1723	2989	7415
