iter	RMSE
0	0.3931786624
1	0.3905962227
2	0.3880065776
3	0.3856166338
4	0.3831805996
5	0.3807853627
6	0.3784634721
7	0.3760880512
8	0.3736782772
9	0.3716634487
10	0.3694666386
11	0.3670886896
12	0.3649351342
13	0.3626428715
14	0.3604001986
15	0.3581063797
16	0.3558945957
17	0.3535937817
18	0.3514304951
19	0.349202819
20	0.3470035884
21	0.3449738683
22	0.3427543027
23	0.3406467947
24	0.3385131683
25	0.3365352449
26	0.3344906192
27	0.3326265774
28	0.3306857633
29	0.3288109662
30	0.3268811137
31	0.3250025219
32	0.323064141
33	0.3211826329
34	0.31927398
35	0.3174654701
36	0.3157366094
37	0.314068955
38	0.3122363763
39	0.3104935088
40	0.3087291284
41	0.3070515465
42	0.3051702865
43	0.3035890167
44	0.301893581
45	0.3002536469
46	0.2986675098
47	0.2970580342
48	0.2956078018
49	0.2939546943
50	0.2923118752
51	0.2907663195
52	0.289297552
53	0.2878182758
54	0.2864866344
55	0.2850299791
56	0.2833527757
57	0.2820147543
58	0.2804716331
59	0.279048453
60	0.2774681454
61	0.2758654182
62	0.2745552848
63	0.2731740924
64	0.2717132178
65	0.2702600915
66	0.2689611127
67	0.2675080656
68	0.2661062397
69	0.2647319393
70	0.2633638661
71	0.2620037661
72	0.2606967388
73	0.2593817915
74	0.2582027312
75	0.2570224702
76	0.2557895757
77	0.2545781144
78	0.2532591454
79	0.2520434442
80	0.2508493098
81	0.2496497888
82	0.2484655651
83	0.2473008161
84	0.2460997565
85	0.2450421408
86	0.2440056606
87	0.2428758007
88	0.2417949793
89	0.2407327419
90	0.2396160242
91	0.2384317691
92	0.237290036
93	0.2361913185
94	0.2351254157
95	0.2340883936
96	0.2329987404
97	0.2319628923
98	0.2309226381
99	0.2298862295
100	0.2288558396
101	0.2278605399
102	0.2268005798
103	0.2257896635
104	0.2248859915
105	0.2238376697
106	0.2230378784
107	0.2220478329
108	0.2210639412
109	0.2202057795
110	0.2193498712
111	0.2185019664
112	0.2175732995
113	0.2165805022
114	0.2157332108
115	0.2148356017
116	0.2140392054
117	0.2131483266
118	0.2122937504
119	0.2113802781
120	0.210564372
121	0.2099325946
122	0.2091167634
123	0.2082365461
124	0.2074099377
125	0.2065566279
126	0.2057245144
127	0.2049063019
128	0.2041472039
129	0.2033299717
130	0.2025260469
131	0.2017486952
132	0.2009417165
133	0.2001983353
134	0.1993936931
135	0.198561329
136	0.1978242822
137	0.1970561209
138	0.1963356325
139	0.1956147405
140	0.1948777123
141	0.1942216679
142	0.193440975
143	0.1927650163
144	0.1920784283
145	0.191413361
146	0.1907423317
147	0.1901297228
148	0.1894699179
149	0.1887842272
150	0.1881751029
151	0.1875686833
152	0.1868690951
153	0.1862706308
154	0.1855815932
155	0.1848970273
156	0.1842302622
157	0.1836501037
158	0.1830179329
159	0.1824909289
160	0.1818603676
161	0.1813021408
162	0.1807415967
163	0.1801639601
164	0.179508204
165	0.1789233062
166	0.1783778509
167	0.1778197356
